"","group","type","units","Last 10-year average","year","amount"
"355","Foods","Vegetables","Percent","6.4264333789999997","2019","4.1192100429999998"
"356","Foods","Vegetables","Percent","6.4264333789999997","2018","5.8945338429999996"
"357","Foods","Vegetables","Percent","6.4264333789999997","2017","2.089822002"
"358","Foods","Vegetables","Percent","6.4264333789999997","2016","10.543826320000001"
"359","Foods","Vegetables","Percent","6.4264333789999997","2015","3.1834999169999998"
"360","Foods","Vegetables","Percent","6.4264333789999997","2014","1.8045873619999999"
"361","Foods","Vegetables","Percent","6.4264333789999997","2013","7.9783897530000001"
"362","Foods","Vegetables","Percent","6.4264333789999997","2012","2.6183554820000001"
"363","Foods","Vegetables","Percent","6.4264333789999997","2011","10.92429233"
"364","Foods","Vegetables","Percent","6.4264333789999997","2010","15.727746460000001"
"365","Foods","Vegetables","Percent","6.4264333789999997","2009","-3.6469636460000001"
"366","Foods","Vegetables","Percent","6.4264333789999997","2008","7.465879138"
"367","Foods","Vegetables","Percent","6.4264333789999997","2007","9.6097413399999994"
"368","Foods","Vegetables","Percent","6.4264333789999997","2006","9.5298054939999997"
"369","Foods","Vegetables","Percent","6.4264333789999997","2005","5.4380295219999999"
"370","Foods","Vegetables","Percent","6.4264333789999997","2004","12.729170359999999"
"371","Foods","Vegetables","Percent","6.4264333789999997","2003","15.769195699999999"
"372","Foods","Vegetables","Percent","6.4264333789999997","2002","5.6429276750000001"
"373","Foods","Vegetables","Percent","6.4264333789999997","2001","10.211286299999999"
"374","Foods","Vegetables","Percent","6.4264333789999997","2000","3.8537876280000001"
"375","Foods","Vegetables","Percent","6.4264333789999997","1999",NA
"376","Subtotal foods ","Animals","Percent","5.2115276719999999","2023","-8.6469242509999997"
"377","Subtotal foods ","Animals","Percent","5.2115276719999999","2022","7.0774529849999999"
"378","Subtotal foods ","Animals","Percent","5.2115276719999999","2021","27.155533890000001"
"379","Subtotal foods ","Animals","Percent","5.2115276719999999","2020","0.12078372699999999"
"380","Subtotal foods ","Animals","Percent","5.2115276719999999","2019","0.799667087"
"381","Subtotal foods ","Animals","Percent","5.2115276719999999","2018","4.465012175"
"382","Subtotal foods ","Animals","Percent","5.2115276719999999","2017","6.985798999"
"383","Subtotal foods ","Animals","Percent","5.2115276719999999","2016","-4.0685773550000004"
"384","Subtotal foods ","Animals","Percent","5.2115276719999999","2015","-1.9954677999999999"
"385","Subtotal foods ","Animals","Percent","5.2115276719999999","2014","20.221997259999998"
"386","Subtotal foods ","Animals","Percent","5.2115276719999999","2013","6.2039541439999999"
"387","Subtotal foods ","Animals","Percent","5.2115276719999999","2012","3.5378528380000001"
"388","Subtotal foods ","Animals","Percent","5.2115276719999999","2011","11.517102299999999"
"389","Subtotal foods ","Animals","Percent","5.2115276719999999","2010","11.69550813"
"390","Subtotal foods ","Animals","Percent","5.2115276719999999","2009","-9.9803799630000007"
"391","Subtotal foods ","Animals","Percent","5.2115276719999999","2008","-0.249008335"
"392","Subtotal foods ","Animals","Percent","5.2115276719999999","2007","4.3640806799999998"
"393","Subtotal foods ","Animals","Percent","5.2115276719999999","2006","6.2031231089999999"
"394","Subtotal foods ","Animals","Percent","5.2115276719999999","2005","7.2779122559999996"
"395","Subtotal foods ","Animals","Percent","5.2115276719999999","2004","8.9268234720000006"
"396","Subtotal foods ","Animals","Percent","5.2115276719999999","2003","4.0884596130000004"
"397","Subtotal foods ","Animals","Percent","5.2115276719999999","2002","1.7559104670000001"
"398","Subtotal foods ","Animals","Percent","5.2115276719999999","2001","3.973505807"
"399","Subtotal foods ","Animals","Percent","5.2115276719999999","2000","12.699872900000001"
"400","Subtotal foods ","Animals","Percent","5.2115276719999999","1999",NA
"401","Subtotal foods ","Beverages ","Percent","4.5298404479999999","2023","-4.179276861"
"402","Subtotal foods ","Beverages ","Percent","4.5298404479999999","2022","0.806916737"
"403","Subtotal foods ","Beverages ","Percent","4.5298404479999999","2021","15.05891838"
"404","Subtotal foods ","Beverages ","Percent","4.5298404479999999","2020","0.56569764199999995"
"405","Subtotal foods ","Beverages ","Percent","4.5298404479999999","2019","3.1246181059999998"
"406","Subtotal foods ","Beverages ","Percent","4.5298404479999999","2018","4.2560753179999997"
"407","Subtotal foods ","Beverages ","Percent","4.5298404479999999","2017","6.6556049829999999"
"408","Subtotal foods ","Beverages ","Percent","4.5298404479999999","2016","5.6224929939999999"
"409","Subtotal foods ","Beverages ","Percent","4.5298404479999999","2015","6.8244540919999999"
"410","Subtotal foods ","Beverages ","Percent","4.5298404479999999","2014","6.5629030869999996"
"411","Subtotal foods ","Beverages ","Percent","4.5298404479999999","2013","3.4553315659999999"
"412","Subtotal foods ","Beverages ","Percent","4.5298404479999999","2012","7.2361454289999996"
"413","Subtotal foods ","Beverages ","Percent","4.5298404479999999","2011","9.3320399690000002"
"414","Subtotal foods ","Beverages ","Percent","4.5298404479999999","2010","6.6487202019999998"
"415","Subtotal foods ","Beverages ","Percent","4.5298404479999999","2009","-11.67344613"
"416","Subtotal foods ","Beverages ","Percent","4.5298404479999999","2008","-0.89583049299999995"
"417","Subtotal foods ","Beverages ","Percent","4.5298404479999999","2007","7.9849427989999997"
"418","Subtotal foods ","Beverages ","Percent","4.5298404479999999","2006","15.89427377"
"419","Subtotal foods ","Beverages ","Percent","4.5298404479999999","2005","11.603584980000001"
"420","Subtotal foods ","Beverages ","Percent","4.5298404479999999","2004","5.9083641809999996"
"421","Subtotal foods ","Beverages ","Percent","4.5298404479999999","2003","13.270683440000001"
"422","Subtotal foods ","Beverages ","Percent","4.5298404479999999","2002","13.631813129999999"
"423","Subtotal foods ","Beverages ","Percent","4.5298404479999999","2001","5.6631863500000001"
"424","Subtotal foods ","Beverages ","Percent","4.5298404479999999","2000","8.1982153830000009"
"425","Subtotal foods ","Beverages ","Percent","4.5298404479999999","1999",NA
"426","Subtotal foods ","Plants","Percent","6.4148105940000004","2023","-0.20244941699999999"
"427","Subtotal foods ","Plants","Percent","6.4148105940000004","2022","19.122255580000001"
"428","Subtotal foods ","Plants","Percent","6.4148105940000004","2021","14.797473869999999"
"429","Subtotal foods ","Plants","Percent","6.4148105940000004","2020","4.7578928349999998"
"430","Subtotal foods ","Plants","Percent","6.4148105940000004","2019","1.4699276210000001"
"431","Subtotal foods ","Plants","Percent","6.4148105940000004","2018","7.5865436070000003"
"432","Subtotal foods ","Plants","Percent","6.4148105940000004","2017","6.2896246619999996"
"433","Subtotal foods ","Plants","Percent","6.4148105940000004","2016","3.505019281"
"434","Subtotal foods ","Plants","Percent","6.4148105940000004","2015","1.7526547219999999"
"435","Subtotal foods ","Plants","Percent","6.4148105940000004","2014","5.0691631829999997"
"436","Subtotal foods ","Plants","Percent","6.4148105940000004","2013","1.0945047530000001"
"437","Subtotal foods ","Plants","Percent","6.4148105940000004","2012","3.5764773050000001"
"438","Subtotal foods ","Plants","Percent","6.4148105940000004","2011","22.602426059999999"
"439","Subtotal foods ","Plants","Percent","6.4148105940000004","2010","14.173974769999999"
"440","Subtotal foods ","Plants","Percent","6.4148105940000004","2009","-7.5966148230000003"
"441","Subtotal foods ","Plants","Percent","6.4148105940000004","2008","17.8968208"
"442","Subtotal foods ","Plants","Percent","6.4148105940000004","2007","10.7583331"
"443","Subtotal foods ","Plants","Percent","6.4148105940000004","2006","10.762627370000001"
"444","Subtotal foods ","Plants","Percent","6.4148105940000004","2005","11.784897750000001"
"445","Subtotal foods ","Plants","Percent","6.4148105940000004","2004","14.23182255"
"446","Subtotal foods ","Plants","Percent","6.4148105940000004","2003","18.190392490000001"
"447","Subtotal foods ","Plants","Percent","6.4148105940000004","2002","8.8273030539999997"
"448","Subtotal foods ","Plants","Percent","6.4148105940000004","2001","-1.691564651"
"449","Subtotal foods ","Plants","Percent","6.4148105940000004","2000","-1.097340797"
"450","Subtotal foods ","Plants","Percent","6.4148105940000004","1999",NA
